x,y,sigma_trace,lambda_trace
15.2942,23.4249,1.23607,2.08333
15.3504,23.4319,1.23607,2.08333
15.4066,23.4389,1.23607,2.08333
15.4628,23.446,1.23607,2.08333
15.4628,23.446,1.23607,2.08333
15.4737,23.4751,1.23607,2.08333
15.4846,23.5042,1.23607,2.08333
15.4954,23.5333,1.23607,2.08333
15.5063,23.5624,1.23607,2.08333
15.5063,23.5624,1.23607,2.08333
15.5644,23.576,1.23607,2.08333
15.6225,23.5895,1.23607,2.08333
15.6225,23.5895,1.23607,2.08333
15.6478,23.53,1.23607,2.08333
15.6478,23.53,1.23607,2.08333
15.7252,23.4871,1.23607,2.08333
15.8027,23.4441,1.23607,2.08333
15.8027,23.4441,1.23607,2.08333
15.8727,23.4539,1.23607,2.08333
15.8727,23.4539,1.23607,2.08333
15.9599,23.4736,1.23607,2.08333
16.0471,23.4934,1.23607,2.08333
16.1342,23.5131,1.23607,2.08333
16.2214,23.5329,1.23607,2.08333
16.2214,23.5329,1.23607,2.08333
16.2063,23.6115,1.23607,2.08333
16.1912,23.6901,1.23607,2.08333
16.1761,23.7688,1.23607,2.08333
16.161,23.8474,1.23607,2.08333
16.1459,23.926,1.23607,2.08333
16.1459,23.926,1.23607,2.08333
16.2247,23.8844,1.23607,2.08333
16.3035,23.8428,1.23607,2.08333
16.3035,23.8428,1.23607,2.08333
16.3638,23.7876,1.23607,2.08333
16.4241,23.7325,1.23607,2.08333
16.4844,23.6773,1.23607,2.08333
16.4844,23.6773,1.23607,2.08333
16.4946,23.727,1.23607,2.08333
16.4946,23.727,1.23607,2.08333
16.4391,23.8115,1.23607,2.08333
16.4391,23.8115,1.23607,2.08333
16.4136,23.9015,1.23607,2.08333
16.4136,23.9015,1.23607,2.08333
16.4772,23.8412,1.23607,2.08333
16.5407,23.781,1.23607,2.08333
16.6043,23.7208,1.23607,2.08333
16.6043,23.7208,1.23607,2.08333
16.6366,23.8168,1.23607,2.08333
